gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
YNL158W,29.65799,-2.297423,0.4305586,3.912398e-9,3.570696e-8
YNL159C,82.89073,-1.962984,0.30249681,9.337548e-12,1.462421e-10
YNL160W,272.4642,-1.70166,0.49624681,9.335332e-5,3.526743e-4
YNL172W,119.5634,-1.030876,0.19192456,4.357329e-8,3.259261e-7
YNL184C,33.47356,-3.931719,0.60090934,6.767956e-15,1.987461e-13
YNL190W,11.3703,-1.959817,0.64455824,1.602802e-4,5.711557e-4
YNL193W,1378.241,-2.683134,0.33465716,1.5370660000000002e-17,8.19295e-16
YNL194C,263.0144,-2.108175,0.58084388,1.505445e-5,6.859942e-5
YNL211C,66.40441,-1.868992,0.46166923,5.827003e-6,2.898877e-5
YNL214W,26.2737,-2.126068,0.3710095,6.948926e-10,7.285461e-9
YNL222W,152.8372,-3.174949,0.33253981,2.2812489999999998e-24,3.3651070000000003e-22
YNL223W,87.19276,-1.582442,0.24130805,1.316486e-11,2.007325e-10
YNL231C,478.4764,-1.459242,0.41380346,1.119557e-4,4.157698e-4
YNL241C,78.85368,-1.262296,0.26171141,5.674612e-7,3.398873e-6
YNL251C,264.3857,-1.131479,0.25780117,5.481908e-6,2.750929e-5
YNL259C,182.7245,-1.344809,0.52511089,0.003012955,0.007813235
YNL280C,184.175,-1.150151,0.25819081,3.946762e-6,2.028713e-5
YNL282W,9.596013,-1.05777,0.50772467,0.01683162,0.03534027
YNL301C,98.83262,-1.800308,0.32670728,5.369771e-9,4.804013e-8
YNL307C,31.05514,-1.339901,0.32339045,1.18381e-5,5.537544e-5
YNL321W,133.3921,-1.00168,0.18024093,1.582042e-8,1.306626e-7
YNL326C,20.75842,-1.670825,0.34048687,1.773547e-7,1.185417e-6
YNR002C,150.9983,-2.632057,0.41995392,5.492381e-12,8.955828e-11
YNR003C,37.57702,-1.099236,0.31677257,2.537636e-4,8.63754e-4
YNR004W,10.5015,-2.41268,0.62990844,2.640011e-6,1.411939e-5
YNR019W,299.1521,-1.401022,0.31791009,3.300069e-6,1.725667e-5
YNR026C,16.28424,-1.821267,0.4695865,1.304408e-5,6.021732e-5
YNR027W,10.63428,-1.18764,0.42230425,0.001993335,0.005455858
YNR032C-A,31.09279,-1.550188,0.39732159,2.192811e-5,9.638945e-5
YNR034W-A,4939.781,-1.545415,0.67805987,0.003594525,0.009104679
YNR036C,29.71246,-1.419273,0.36975643,3.650948e-5,1.529588e-4
YNR060W,35.28696,-1.684241,0.3954813,3.667516e-6,1.90213e-5
YNR061C,32.21503,-4.152133,0.50345719,1.0860619999999999e-20,1.059829e-18
YNR067C,162.8898,-2.254444,0.46071102,4.381292e-8,3.270313e-7
YNR069C,52.89979,-2.32326,0.39466468,1.589861e-10,1.860607e-9
YNR070W,55.38908,-1.141771,0.34387658,4.089216e-4,0.001334254
YNR071C,15.31002,-1.363743,0.68299489,0.010213,0.02281024
YNR074C,17.88744,-2.470984,0.50870368,2.587346e-8,2.043778e-7
YNR075W,145.4782,-4.659912,0.4044177,1.084848e-34,8.601492e-32
YOL013C,77.19309,-1.152079,0.26153385,4.946814e-6,2.49822e-5
YOL016C,303.2453,-1.225127,0.32173006,5.754545e-5,2.292781e-4
YOL018C,52.69187,-1.272163,0.26901616,8.906637e-7,5.159343e-6
YOL026C,38.76769,-1.301513,0.32054362,1.80032e-5,8.053192e-5
YOL030W,48.70584,-2.179225,0.34393325,1.477282e-11,2.236372e-10
YOL038C-A,32.29393,-1.082269,0.43900376,0.00632929,0.01494664
YOL049W,61.55656,-1.515466,0.29811544,9.740028e-8,6.849334e-7
YOL053W,63.54557,-1.125354,0.35887161,7.894719e-4,0.002398286
YOL056W,8.091611,-1.415699,0.54892078,0.002460538,0.006557643
YOL057W,31.88438,-1.181294,0.37200558,6.335918e-4,0.001960499
YOL059W,92.48066,-1.19735,0.48974987,0.00547286,0.01316433
YOL060C,83.40892,-1.9315,0.31568734,1.084553e-10,1.315357e-9
YOL062C,58.74566,-1.06354,0.29349211,1.497603e-4,5.372904e-4
YOL072W,24.85459,-1.431809,0.33769952,6.606613e-6,3.25608e-5
YOL082W,71.64284,-1.854726,0.27684291,2.908629e-12,5.000985e-11
YOL084W,168.5547,-2.448065,0.38111908,3.827371e-12,6.473871e-11
YOL085C,10.11177,-2.391525,0.90128529,9.725663e-5,3.663295e-4
YOL086W-A,30.54088,-2.450929,0.39483723,1.50266e-11,2.263984e-10
YOL088C,46.49594,-2.589438,0.29647111,5.0715599999999994e-20,4.467904e-18
YOL101C,396.261,-2.544594,0.38121176,5.259447e-13,1.032838e-11
YOL105C,91.9108,-3.346574,0.32009335,1.000311e-28,2.758683e-26
YOL107W,64.09925,-1.206219,0.24134846,2.544083e-7,1.641619e-6
YOL109W,483.5062,-1.231721,0.28324644,5.690875e-6,2.846784e-5
YOL110W,59.32925,-1.99864,0.30358482,4.592301e-12,7.625383e-11
YOL111C,127.5665,-1.255594,0.233856,3.250276e-8,2.4959440000000003e-07
YOL113W,157.9436,-1.404106,0.19867518,5.253503e-13,1.032838e-11
YOL118C,10.85938,-1.03612,0.44120741,0.009235528,0.02087703
YOL119C,156.7885,-1.989151,0.32984124,1.629288e-10,1.903236e-9
YOL122C,118.5331,-1.212223,0.29401407,1.587593e-5,7.182668e-5
YOL126C,30.04018,-1.320433,0.33312507,2.613035e-5,1.126749e-4
YOL129W,77.27626,-1.597408,0.3403245,5.912309e-7,3.527919e-6
YOL146W,14.79511,-1.710833,0.3909,2.048526e-6,1.118227e-5
YOL153C,76.73984,-2.503893,0.40673596,1.736619e-11,2.585768e-10
YOL159C-A,125.3676,-2.208364,0.42536367,1.096576e-8,9.298902e-8
YOL162W,0.8977282,-1.440992,1.10096321,0.01050232,0.02338232
YOR002W,102.0001,-1.298486,0.22062823,1.540643e-9,1.503431e-8
YOR012W,17.07934,-4.551459,0.9060122,4.101532e-11,5.570882e-10
YOR021C,12.63953,-1.461045,0.56229099,0.002107131,0.005728905
YOR028C,135.0265,-1.551975,0.40378247,2.757261e-5,1.183309e-4
YOR031W,766.1504,-2.127079,0.42937109,4.682061e-8,3.473487e-7
YOR032C,104.0541,-1.066602,0.29231026,1.354163e-4,4.925147e-4
YOR032W-A,23.27603,-2.288685,0.46234363,2.977419e-8,2.317272e-7
YOR035C,147.8458,-1.21256,0.27655157,4.974807e-6,2.506822e-5
YOR037W,18.9687,-1.524937,0.44790465,1.517662e-4,5.435647e-4
YOR044W,103.7863,-2.175998,0.28661036,2.105689e-15,6.71175e-14
YOR049C,591.2806,-2.272144,0.291996,3.749004e-16,1.467897e-14
YOR060C,44.571,-1.375393,0.28308262,3.957384e-7,2.470638e-6
YOR071C,24.64684,-1.542969,0.40181846,2.849554e-5,1.219617e-4
YOR072W-B,115.35,-1.75064,0.44814235,1.383979e-5,6.370521e-5
YOR100C,64.93118,-1.336845,0.46933675,0.001362404,0.003895698
YOR107W,16.35656,-2.172027,0.50708119,9.407484e-7,5.429634e-6
YOR109W,145.9247,-1.527829,0.16205428,1.1478999999999999e-21,1.3238409999999998e-19
YOR118W,63.86647,-1.135689,0.21198799,4.11683e-8,3.101312e-7
YOR122C,148.048,-1.193597,0.3788884,6.760401e-4,0.002083636
YOR125C,48.83555,-1.265153,0.28122153,2.708319e-6,1.444817e-5
YOR134W,224.5929,-1.101677,0.24066566,2.367326e-6,1.276867e-5
YOR136W,67.11634,-2.579845,0.26242958,1.845295e-24,2.7868340000000003e-22
YOR138C,77.08438,-1.247043,0.26489413,1.027244e-6,5.875388e-6
YOR147W,71.2261,-1.289967,0.28803434,2.861539e-6,1.521437e-5
YOR161C,86.7454,-2.12276,0.30276194,1.77131e-13,3.853603e-12
YOR173W,352.3566,-1.774132,0.39185015,8.91563e-7,5.15984e-6
YOR176W,44.44216,-1.951745,0.33963492,9.786647e-10,9.964158e-9
YOR184W,33.58739,-1.186645,0.4484174,0.003235401,0.008308563
YOR192C-B,302.741,-2.007763,0.32612388,7.140602e-11,9.131621e-10
YOR193W,61.11871,-1.647378,0.27644792,5.320659e-10,5.720159e-9
YOR219C,356.0869,-2.0026,0.2945053,1.044749e-12,1.960604e-11
YOR220W,283.2836,-1.632987,0.51349779,2.547416e-4,8.659304e-4
YOR228C,20.71974,-1.030702,0.44531266,0.01014786,0.02270471
YOR230W,169.0014,-1.604748,0.22973898,6.627972e-13,1.281745e-11
YOR241W,87.15481,-1.518976,0.23051591,1.19641e-11,1.848478e-10
YOR253W,18.46872,-1.027873,0.40486122,0.005638517,0.01351667
YOR266W,54.37172,-1.12351,0.31708223,1.868182e-4,6.575993e-4
YOR273C,61.58868,-2.357173,0.37466481,1.186596e-11,1.840239e-10
YOR288C,43.0915,-1.096509,0.41139225,0.003558143,0.009024111
YOR289W,119.8596,-2.074506,0.37182443,1.896251e-9,1.816906e-8
YOR292C,106.6283,-2.248928,0.27847606,3.767251e-17,1.796667e-15
YOR296W,300.518,-1.205242,0.22479698,3.651652e-8,2.77727e-7
YOR297C,9.666319,-1.629931,0.50181638,2.053094e-4,7.167186e-4
YOR302W,6.067138,-1.686278,0.71351675,0.001991768,0.005455001
YOR316C,23.84458,-1.055441,0.33901168,9.420992e-4,0.002800251
YOR317W,121.5479,-1.018157,0.29497711,3.031102e-4,0.001014044
YOR319W,12.18636,-1.098906,0.47262635,0.008842253,0.02011708
YOR320C,59.92534,-1.892836,0.26993094,3.025401e-13,6.291842e-12
YOR334W,39.63192,-1.12914,0.28652862,3.870575e-5,1.603667e-4
YOR343C,7.51018,-1.544721,0.58480342,0.001536802,0.00433049
YOR344C,169.856,-3.076474,0.27303417,5.561244000000001e-32,2.939581e-29
YOR348C,75.20451,-3.685238,0.48158351,3.5897360000000004e-18,2.128009e-16
YOR349W,69.7453,-1.576908,0.26010201,3.227332e-10,3.604044e-9
YOR352W,53.05908,-1.792959,0.30422596,5.858078e-10,6.245007e-9
YOR353C,55.1369,-1.340663,0.25167618,3.587173e-8,2.734788e-7
YOR356W,60.46131,-1.935583,0.32124617,1.911411e-10,2.216469e-9
YOR357C,24.40466,-2.932286,0.43957099,1.178817e-13,2.718996e-12
YOR365C,10.0927,-1.261529,0.47531715,0.002762222,0.007245977
YOR374W,421.4079,-1.408537,0.29200489,4.451779e-7,2.741518e-6
YOR375C,104.2176,-1.367913,0.43430022,4.975248e-4,0.001592705
YOR376W,2.072599,-1.468091,1.04109326,0.01048348,0.02334856
YOR376W-A,22.72139,-2.263332,0.60835362,6.598748e-6,3.254733e-5
YOR388C,15.39853,-1.801817,0.83437103,0.001946693,0.005345399
YOR390W,51.25059,-1.319832,0.24943833,4.509266e-8,3.357075e-7
YPL002C,25.0322,-3.183974,0.52332016,1.704875e-12,3.098574e-11
YPL003W,282.9118,-1.683728,0.21346755,6.246484e-16,2.317044e-14
YPL010W,19.57211,-1.991248,0.42549467,2.574222e-7,1.657695e-6
YPL014W,87.22279,-2.248263,0.43973653,1.473069e-8,1.221396e-7
YPL015C,47.79028,-1.600165,0.29716905,1.640112e-8,1.351069e-7
YPL017C,160.0479,-1.251317,0.32216005,4.060192e-5,1.666913e-4
YPL018W,24.04653,-1.937425,0.42626628,5.562371e-7,3.342466e-6
YPL024W,47.51558,-1.195131,0.22991693,9.011815e-8,6.379681e-7
YPL041C,24.45233,-1.203999,0.31435744,5.442887e-5,2.178185e-4
YPL047W,4.762195,-1.906649,0.79828027,9.196846e-4,0.002742623
YPL061W,438.4995,-1.953985,0.40723153,1.597219e-7,1.076638e-6
YPL069C,27.32084,-1.243526,0.28905087,6.889225e-6,3.376998e-5
YPL077C,15.34902,-1.282039,0.37518878,2.311569e-4,7.981645e-4
YPL097W,129.9864,-1.156776,0.23353531,3.432131e-7,2.164017e-6
YPL112C,33.46237,-1.003298,0.32164336,9.909662e-4,0.002924941
YPL113C,35.04314,-2.999629,0.40049571,2.52174e-16,1.022971e-14
YPL119C-A,6.150548,-1.337658,0.76869296,0.01612828,0.03416277
YPL123C,93.97252,-1.304235,0.36817869,1.406668e-4,5.092747e-4
YPL125W,77.72969,-1.454209,0.21771581,7.299539e-12,1.160425e-10
YPL133C,49.87144,-1.339413,0.29949175,2.716145e-6,1.447774e-5
YPL135W,27.61134,-1.49796,0.33567345,2.14087e-6,1.161737e-5
YPL139C,26.31863,-1.166974,0.33016976,1.810347e-4,6.39723e-4
YPL148C,18.39183,-1.529244,0.36150638,5.731e-6,2.862341e-5
YPL152W,232.9435,-2.096601,0.33401341,2.675319e-11,3.851014e-10
YPL162C,11.24592,-1.41712,0.53814918,0.002123106,0.005762457
YPL165C,19.86915,-3.106327,0.64964247,3.173441e-9,2.947165e-8
YPL171C,33.58285,-1.006577,0.44008785,0.01128001,0.02490681
YPL172C,67.37789,-1.612006,0.22914986,4.588784e-13,9.210968e-12
YPL175W,25.76084,-1.338119,0.37576201,1.236324e-4,4.540824e-4
YPL189W,29.72798,-1.049679,0.28288897,1.08977e-4,4.061345e-4
YPL191C,43.85742,-1.350409,0.28189004,5.79488e-7,3.467634e-6
YPL200W,5.326168,-1.685846,0.82516017,0.003447446,0.008774939
YPL204W,90.292,-1.002586,0.23766185,1.393701e-5,6.401337e-5
YPL215W,24.20219,-1.291649,0.41479892,6.449259e-4,0.001994522
YPL236C,21.49441,-1.889635,0.40767165,4.103443e-7,2.546785e-6
YPL241C,14.67742,-2.272618,0.48868751,1.332395e-7,9.107091e-7
YPL250C,110.1084,-1.395169,0.5392028,0.002519448,0.006697761
YPL257W,96.96124,-1.113448,0.40523132,0.002726787,0.007161909
YPL262W,193.6788,-1.003972,0.30717166,5.947243e-4,0.001861473
YPL264C,55.24696,-2.616776,0.3686964,2.171921e-14,5.912659e-13
YPL265W,2838.691,-1.742305,0.22015502,4.497894e-16,1.739643e-14
YPL273W,47.64778,-1.79985,0.32185152,3.380602e-9,3.112214e-8
YPL274W,182.5151,-1.050676,0.38546633,0.003200431,0.008235429
YPL277C,11.01241,-1.892231,0.62798473,2.128894e-4,7.399218e-4
YPR002W,25.61399,-2.277834,0.63498393,1.008851e-5,4.786195e-5
YPR005C,75.5762,-1.588941,0.30110729,3.021865e-8,2.343238e-7
YPR010C-A,194.382,-2.340375,0.51074547,1.472799e-7,9.991404e-7
YPR013C,218.8111,-2.536175,0.23340986,4.4121099999999995e-29,1.332667e-26
YPR014C,6.8393,-1.410403,0.57071666,0.003280719,0.008396722
YPR015C,1803.228,-2.981919,0.40296226,5.362698e-16,2.024738e-14
YPR016C,21.44562,-1.683791,0.42219154,1.157791e-5,5.427839e-5
YPR020W,31.92303,-1.135211,0.44853475,0.004862481,0.01183981
YPR026W,410.1806,-1.589474,0.44811075,7.914535e-5,3.037017e-4
YPR028W,211.5384,-1.525338,0.31431137,3.109884e-7,1.980731e-6
YPR035W,165.9103,-1.932505,0.33711242,1.112034e-9,1.117849e-8
YPR036W-A,111.1813,-2.265863,0.45100681,2.20148e-8,1.765359e-7
YPR042C,177.9993,-1.309774,0.18459786,4.99214e-13,9.895357e-12
YPR046W,18.41606,-1.268783,0.3861401,3.758676e-4,0.001232108
YPR051W,55.11289,-3.581295,0.41139214,7.833961000000001e-22,9.375626e-20
YPR056W,112.4581,-1.682581,0.2332499,1.095516e-13,2.551506e-12
YPR061C,70.72061,-2.150146,0.30464654,1.185817e-13,2.72523e-12
YPR066W,65.08886,-2.496173,0.2803276,1.5166609999999998e-20,1.435848e-18
YPR068C,18.58225,-1.025706,0.32897851,9.665198e-4,0.002866947
YPR070W,53.86746,-1.029538,0.29411167,2.493873e-4,8.518383e-4
YPR071W,23.18931,-1.692878,0.40024148,4.086223e-6,2.093612e-5
YPR082C,49.97669,-1.87987,0.31856532,4.620366e-10,5.052928e-9
YPR085C,51.45672,-1.123395,0.30712262,1.208951e-4,4.450631e-4
YPR101W,76.958,-1.016684,0.41360933,0.007139134,0.01663612
YPR109W,231.0005,-1.385683,0.35589847,3.109748e-5,1.32029e-4
YPR118W,45.78994,-2.212876,0.36242263,5.770423e-11,7.625373e-10
YPR127W,159.1285,-1.472957,0.40059583,6.197434e-5,2.446193e-4
YPR138C,185.5031,-1.1941,0.30536393,3.987487e-5,1.641313e-4
YPR145C-A,41.8514,-1.101344,0.49311365,0.01101775,0.02438438
YPR145W,184.0041,-1.563078,0.24090328,2.165146e-11,3.179055e-10
YPR147C,26.40731,-2.101392,0.38398338,3.219058e-9,2.976456e-8
YPR149W,379.2473,-1.965956,0.2944512,2.645742e-12,4.58523e-11
YPR155C,63.74134,-1.577071,0.32679039,3.219941e-7,2.046501e-6
YPR156C,73.44301,-3.46485,0.38321855,6.3012360000000006e-23,8.503987e-21
YPR157W,21.60221,-2.543167,0.50677,9.047253e-9,7.78653e-8
YPR159C-A,5.993323,-2.344133,0.85339541,9.307009e-5,3.520236e-4
YPR159W,67.36515,-1.396135,0.41674832,2.383633e-4,8.181485e-4
YPR166C,7.045256,-1.418586,0.6481713,0.006119679,0.01451108
YPR170W-B,48.9745,-1.165109,0.26974493,7.170798e-6,3.50689e-5
YPR176C,42.36411,-1.046202,0.30742069,3.485345e-4,0.001150835
YPR181C,62.87232,-1.04929,0.30355892,2.856649e-4,9.612585e-4
YPR184W,887.4139,-1.249122,0.4347222,0.001489319,0.004206033
YPR191W,31.01317,-1.258465,0.3928443,5.072214e-4,0.001617549
YPR192W,78.45591,-2.662438,0.69301447,1.013819e-6,5.819598e-6
YPR194C,327.4618,-2.014394,0.47873092,2.040553e-6,1.114834e-5
YPR196W,535.9022,-2.87514,0.31033109,1.3720290000000001e-22,1.7760779999999998e-20
YPR198W,143.3946,-1.863696,0.24677519,5.958885e-15,1.766225e-13
YPR200C,11.6607,-1.261563,0.653006,0.01495678,0.03202474
YPR202W,1.68119,-1.30705,1.12602968,0.0153924,0.0327851
